State,percAllPets,percDogOwners,percCatOwners
Wyoming,0.718,0.36,0.3
West Virginia,0.71,0.496,0.377
Vermont,0.7,0.283,0.446
Idaho,0.7,0.333,0.344
Indiana,0.692,0.494,0.375
Arkansas,0.69,0.516,0.348
Mississippi,0.655,0.51,0.291
Oklahoma,0.65,0.477,0.284
Kentucky,0.641,0.465,0.322
North Dakota,0.637,0.443,0.248
Missouri,0.635,0.451,0
Maine,0.635,0.359,0.436
Washington,0.63,0.428,0.305
Kansas,0.628,0.431,0.324
Ohio,0.624,0.379,0.307
Michigan,0.624,0.419,0.312
South Carolina,0.62,0.453,0.252
Montana,0.62,0.519,0.228
Tennessee,0.617,0.47,0.309
Pennsylvania,0.606,0.389,0.289
New Mexico,0.6,0.394,0.252
Alabama,0.598,0.469,0.261
Oregon,0.592,0.378,0.3
Wisconsin,0.59,0.336,0.324
North Carolina,0.59,0.413,0.265
Iowa,0.59,0.363,0.356
Utah,0.585,0.362,0.247
Texas,0.582,0.434,0.205
Arizona,0.58,0.43,0.264
Delaware,0.579,0.422,0.241
Florida,0.56,0.398,0.242
Virginia,0.555,0.356,0.239
Minnesota,0.54,0.355,0.265
Louisiana,0.54,0.383,0.19
Nevada,0.53,0.368,0.231
New Hampshire,0.52,0.237,0.364
Nebraska,0.513,0.471,0.309
Georgia,0.51,0.367,0.204
New York,0.5,0.27,0.211
Connecticut,0.5,0.24,0.267
Massachusetts,0.49,0.289,0.235
Maryland,0.486,0.302,0.186
Illinois,0.486,0.324,0.21
New Jersey,0.474,0.291,0.189
Colorado,0.472,0.271,0
South Dakota,0.46,0.321,0.266
Rhode Island,0.454,0.258,0.167
California,0.401,0,0.229
Hawaii,0,0,0
Alaska,0,0,0
